"IDinventario","Nombre","Fecha y hora","Tipo","Total","Descuento","createdAt","updatedAt"
"41d5db91","Mezclas","2024-12-23 14:44:00","SALIDAS","$0.00","$0.00",NULL,NULL
"41e3e536","Gomas y vasos","2026-01-09 15:02:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"41f55423","Okaloca y paletas","2025-04-11 15:07:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"428c6252","Mezclas","2025-05-25 13:46:00","SALIDAS","$0.00","$0.00",NULL,NULL
"430c2263","Mezclas","2025-10-04 12:12:00","SALIDAS","$0.00","$0.00",NULL,NULL
"43255c9a","Dulces","2025-10-17 11:13:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"43f39fc9","Mezclas","2025-08-24 13:07:00","SALIDAS","$0.00","$0.00",NULL,NULL
"44ce434b","Mezclas","2025-06-26 14:26:00","SALIDAS","$0.00","$0.00",NULL,NULL
"46186b6f","Mezclas","2025-05-15 14:32:00","SALIDAS","$0.00","$0.00",NULL,NULL
"47001e4a","Mezclas","2025-03-14 14:28:00","SALIDAS","$0.00","$0.00",NULL,NULL
"472d8036","Mezclas","2025-08-01 14:13:00","SALIDAS","$0.00","$0.00",NULL,NULL
"47d144f9","Mezclas","2024-11-24 14:03:00","SALIDAS","$0.00","$0.00",NULL,NULL
"4888ea0d","Mezclas","2024-11-13 15:02:00","SALIDAS","$0.00","$0.00",NULL,NULL
"4ac91975","Cintas, paletas y pitillos","2024-12-31 12:20:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"4aea4297","Mezclas","2025-05-31 14:18:00","SALIDAS","$0.00","$0.00",NULL,NULL
"4bdcb034","Vasos","2025-04-27 15:38:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"4c2924e0","Mezclas","2025-10-02 14:49:00","SALIDAS","$0.00","$0.00",NULL,NULL
"4c595965","Mezclas","2025-06-19 16:15:00","SALIDAS","$0.00","$0.00",NULL,NULL
"4d2286c2","Mezclas","2025-10-11 13:19:00","SALIDAS","$0.00","$0.00",NULL,NULL
"4e39e34b","Mezclas","2025-01-08 14:51:00","SALIDAS","$0.00","$0.00",NULL,NULL
"4eb2c28e","Mezclas","2025-03-13 17:14:00","SALIDAS","$0.00","$0.00",NULL,NULL
"4edb674c","Vasos y pitillos","2025-03-24 14:30:00","ENTRADAS","$91,800.00","$200.00",NULL,NULL
"4f5575e1","Mezclas","2025-11-05 15:13:00","SALIDAS","$0.00","$0.00",NULL,NULL
"50266acd","Insumos CALI","2025-10-02 18:02:00","ENTRADAS","$6,187,830.00","$430,170.00",NULL,NULL
"504a2d25","Mezclas","2025-04-13 19:27:00","SALIDAS","$0.00","$0.00",NULL,NULL
"50642830","Mezclas cali","2025-04-24 11:57:00","ENTRADAS","$3,532,743.00","$253,977.00",NULL,NULL
"5083c85e","Pitillos","2025-12-30 16:01:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"50de4f64","Colmillos","2025-10-25 16:30:00","ENTRADAS","$0.00","$0.00",NULL,NULL
